diffgr:id,msdata:rowOrder,State,District,Market,Commodity,Variety,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price,
Table1,0,Andhra Pradesh,Adilabad,Adilabad,Cotton,Cotton (Unginned),28-Nov-2013,4185,4351,4200,
Table2,1,Andhra Pradesh,Adilabad,Adilabad,Soyabean,Local,28-Nov-2013,3100,3530,3300,
Table3,2,Andhra Pradesh,Adilabad,Bhainsa,Cotton,Cotton (Unginned),28-Nov-2013,4100,4360,4200,
Table4,3,Andhra Pradesh,Adilabad,Boath,Cotton,H4,28-Nov-2013,4229,4360,4360,
Table5,4,Andhra Pradesh,Adilabad,Indravelly(Utnoor),Cotton,Cotton (Unginned),28-Nov-2013,4180,4380,4300,
Table6,5,Andhra Pradesh,Adilabad,Indravelly(Utnoor),Soyabean,Yellow,28-Nov-2013,3100,3400,3200,
Table7,6,Andhra Pradesh,Adilabad,Jainoor,Cotton,Cotton (Unginned),28-Nov-2013,4000,4350,4320,
Table8,7,Andhra Pradesh,Adilabad,Kagaznagar,Cotton,cotton (Ginned),28-Nov-2013,4000,4310,4155,
Table9,8,Andhra Pradesh,Adilabad,Khanapur,Maize,Local,28-Nov-2013,1310,1310,1310,
Table10,9,Andhra Pradesh,Adilabad,Mancharial,Cotton,Cotton (Unginned),28-Nov-2013,4065,4325,4238,
Table11,10,Andhra Pradesh,Adilabad,Sarangapur,Cotton,Cotton (Unginned),28-Nov-2013,4142,4360,4272,
Table12,11,Andhra Pradesh,Anantapur,Anantapur,Ground Nut Seed,Ground Nut Seed,28-Nov-2013,5500,5600,5550,
Table13,12,Andhra Pradesh,Anantapur,Anantapur,Groundnut,Local,28-Nov-2013,4500,4600,4550,
Table14,13,Andhra Pradesh,Anantapur,Dharmavaram,Groundnut,Local,28-Nov-2013,3950,4100,4000,
Table15,14,Andhra Pradesh,Anantapur,Dharmavaram,Paddy(Dhan),B P T,28-Nov-2013,1200,1250,1225,
Table16,15,Andhra Pradesh,Anantapur,Gooti,Groundnut,TMV-2,28-Nov-2013,4000,4200,4100,
Table17,16,Andhra Pradesh,Anantapur,Gooti,Paddy(Dhan),Other,28-Nov-2013,1400,1600,1500,
Table18,17,Andhra Pradesh,Anantapur,Guntakal,Bengal Grams(Gram),Gulabi,28-Nov-2013,3100,3300,3200,
Table19,18,Andhra Pradesh,Anantapur,Guntakal,Ground Nut Seed,Ground Nut Seed,28-Nov-2013,5800,6000,5900,
Table20,19,Andhra Pradesh,Anantapur,Guntakal,Groundnut,TMV-2,28-Nov-2013,3800,4000,3900,
Table21,20,Andhra Pradesh,Anantapur,Hindupur,Tamarind Fruit,Flower A/c,28-Nov-2013,2500,4500,3500,
Table22,21,Andhra Pradesh,Anantapur,Hindupur,Tamarind Fruit,Karpuli A/c Fine,28-Nov-2013,4600,7200,5900,
Table23,22,Andhra Pradesh,Anantapur,Hindupur,Tamarind Fruit,With Seed 1Variety,28-Nov-2013,1500,2000,1750,
Table24,23,Andhra Pradesh,Anantapur,Kalyandurg,Groundnut,TMV-2,28-Nov-2013,4200,5200,4400,
Table25,24,Andhra Pradesh,Anantapur,Kalyandurg,Paddy(Dhan),Sona,28-Nov-2013,1450,1600,1500,
Table26,25,Andhra Pradesh,Anantapur,Kalyandurg,Tamarind Fruit,Non A/c Fine,28-Nov-2013,5000,6400,6000,
Table27,26,Andhra Pradesh,Anantapur,Kalyandurg,Tamarind Fruit,Non A/c Flower,28-Nov-2013,3000,4000,3500,
Table28,27,Andhra Pradesh,Anantapur,Madakasira,Groundnut,Local,28-Nov-2013,3000,3600,3300,
Table29,28,Andhra Pradesh,Anantapur,Penukonda,Groundnut,Local,28-Nov-2013,4100,4300,4200,
Table30,29,Andhra Pradesh,Anantapur,Penukonda,Sunflower,Local,28-Nov-2013,3100,3300,3200,
Table31,30,Andhra Pradesh,Anantapur,Rayadurg,Groundnut,Local,28-Nov-2013,4000,4500,4300,
Table32,31,Andhra Pradesh,Anantapur,Rayadurg,Tamarind Fruit,Flower A/c,28-Nov-2013,5000,5500,5300,
Table33,32,Andhra Pradesh,Anantapur,Tadipatri,Banana - Green,Banana - Green,28-Nov-2013,500,600,550,
Table34,33,Andhra Pradesh,Anantapur,Urvakonda,Bengal Grams(Gram),Gulabi,28-Nov-2013,3100,3300,3200,
Table35,34,Andhra Pradesh,Anantapur,Urvakonda,Groundnut,TMV-2,28-Nov-2013,4000,4200,4100,
Table36,35,Andhra Pradesh,Chittor,Chittoor,Gur(Jaggery),NO 3,28-Nov-2013,2000,2041,2000,
Table37,36,Andhra Pradesh,Chittor,Kalikiri,Tomato,Local,28-Nov-2013,700,1400,1000,
Table38,37,Andhra Pradesh,Chittor,Madanapalli,Tomato,Local,28-Nov-2013,1100,1700,1400,
Table39,38,Andhra Pradesh,Chittor,Madanapalli,Tomato,Other,28-Nov-2013,600,950,800,
Table40,39,Andhra Pradesh,Chittor,Pakala,Gur(Jaggery),NO 3,28-Nov-2013,2000,2000,2000,
Table41,40,Andhra Pradesh,Chittor,Palamaner,Tomato,Hybrid,28-Nov-2013,1000,1660,1330,
Table42,41,Andhra Pradesh,Chittor,Punganur,Tomato,Hybrid,28-Nov-2013,1233,1666,1533,
Table43,42,Andhra Pradesh,Chittor,Puttur,Gur(Jaggery),NO 3,28-Nov-2013,1500,2000,2000,
Table44,43,Andhra Pradesh,Chittor,Thottambedu,Paddy(Dhan),Paddy Coarse,28-Nov-2013,1300,1330,1310,
